season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
4,3,The One with the 'Cuffs,9 Oct. 1997,8.5,4258,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.
4,4,The One with the Ballroom Dancing,16 Oct. 1997,8.2,4127,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.
4,5,The One with Joey's New Girlfriend,30 Oct. 1997,8.4,4173,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.
4,6,The One with the Dirty Girl,6 Nov. 1997,8.5,4280,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.
4,7,The One Where Chandler Crosses the Line,13 Nov. 1997,8.7,4325,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.
4,8,The One with Chandler in a Box,20 Nov. 1997,9.1,5408,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.
4,9,The One Where They're Going to Party!,11 Dec. 1997,7.9,4031,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.
4,10,The One with the Girl from Poughkeepsie,18 Dec. 1997,8.0,4005,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls."
4,11,The One with Phoebe's Uterus,8 Jan. 1998,8.5,4296,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.
4,12,The One with the Embryos,15 Jan. 1998,9.5,7935,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher."
4,13,The One with Rachel's Crush,29 Jan. 1998,8.2,3990,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'."
4,14,The One with Joey's Dirty Day,5 Feb. 1998,8.2,4030,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him."
4,15,The One with All the Rugby,26 Feb. 1998,8.5,4208,"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch."
