,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers,imdb_rating,total_votes,desc,rachel,monica,phoebe,joey,chandler,ross,rachel_words,monica_words,phoebe_words,joey_words,chandler_words,ross_words
91,4,19,92,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,1998-04-09,466618,21760000.0,8.7,4198.0,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,29.0,30.0,26.0,51.0,53.0,44.0,282.0,219.0,323.0,411.0,469.0,603.0
92,4,20,93,The One with All the Wedding Dresses,Gail Mancuso,Story by: Adam ChaseTeleplay by: Gregory S. Malins & Michael Curtis,1998-04-16,466621,21940000.0,8.5,4124.0,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",56.0,46.0,36.0,21.0,32.0,41.0,756.0,415.0,202.0,251.0,355.0,348.0
93,4,21,94,The One with the Invitation,Peter Bonerz,Seth Kurland,1998-04-23,466619,21510000.0,7.1,4446.0,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",71.0,17.0,10.0,26.0,29.0,70.0,921.0,151.0,93.0,226.0,287.0,779.0
94,4,22,95,The One with the Worst Best Man Ever,Peter Bonerz,Story by: Seth KurlandTeleplay by: Gregory S. Malins & Michael Curtis,1998-04-30,466622,23150000.0,8.5,4033.0,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",31.0,33.0,34.0,66.0,32.0,40.0,273.0,295.0,560.0,969.0,324.0,529.0
95,4,23,96,The One with Ross's Wedding,Kevin S. Bright,Michael Borkow,1998-05-07,466623,31610000.0,8.7,4412.0,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.,60.0,49.0,77.0,70.0,53.0,65.0,787.0,597.0,1088.0,845.0,660.0,810.0
96,4,24,97,The One with Ross's Wedding: Part 2,Kevin S. Bright,Story by: Jill Condon & Amy Toomin Teleplay by: Shana Goldberg-Meehan & Scott Silveri,1998-05-07,466624,31610000.0,9.2,5502.0,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,,,,,,,,,,,,
97,5,1,98,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,1998-09-24,467651,31120000.0,8.9,4704.0,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",45.0,43.0,12.0,22.0,49.0,55.0,532.0,353.0,118.0,274.0,410.0,645.0
98,5,2,99,The One with All the Kissing,Gary Halvorson,Wil Calhoun,1998-10-01,467652,25360000.0,9.0,4844.0,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,61.0,49.0,24.0,29.0,29.0,40.0,834.0,613.0,257.0,217.0,321.0,465.0
99,5,3,100,The One Hundredth,Kevin S. Bright,David Crane & Marta Kauffman,1998-10-08,467653,26820000.0,8.8,4408.0,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",33.0,26.0,52.0,24.0,30.0,16.0,395.0,232.0,626.0,370.0,285.0,105.0
100,5,4,101,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,1998-10-18,467654,24090000.0,8.2,3955.0,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,18.0,42.0,29.0,35.0,31.0,36.0,303.0,349.0,452.0,417.0,403.0,629.0
